List File,4.lst
Start Time,2016-12-24  13:13:10
Sampling Time,47 sec

Count,9064
Particles / ml,487355

Efficiency,8.0%
PPUI,17.50

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),110.66,19.60,1023.11,71.49,64.61
Aspect Ratio,0.73,0.19,1.00,0.13,17.69
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.00,0.96,0.13,19.49
Circularity (Hu),0.88,0.17,1.00,0.09,10.48
Compactness,2.03,1.00,13.50,0.92,45.39
Diameter (ABD),11.42,5.00,36.09,3.25,28.43
Diameter (ESD),13.55,5.60,45.01,3.91,28.88
Elongation,4.02,1.00,40.39,3.02,75.01
Geodesic Aspect Ratio,0.35,0.02,1.00,0.19,54.22
Geodesic Length,24.14,6.13,158.20,11.64,48.22
Geodesic Thickness,6.92,1.50,18.46,1.97,28.51
Image Height,39.00,18.00,120.00,8.34,21.39
Image Width,38.24,19.00,113.00,7.88,20.60
Intensity,160.87,86.06,218.90,14.10,8.76
Length,15.92,6.11,60.34,4.73,29.73
Perimeter,62.14,24.53,324.22,22.73,36.57
Roughness,1.32,1.03,2.72,0.23,17.50
Sigma Intensity,41.08,3.40,58.03,8.27,20.14
Sum Intensity,84689.61,16244.00,5.48e+005,44043.73,52.01
Transparency,0.16,0.02,0.60,0.06,38.05
Volume (ABD),992.01,65.29,24617.58,1208.89,121.86
Width,10.61,2.21,38.16,3.28,30.89

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,10,0.11,0.01,538,0.05
6-7um,64,0.71,0.06,3441,0.51
7-8um,146,1.61,0.22,7850,1.78
8-9um,338,3.73,0.74,18174,6.05
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1270,14.01,3.14,68286,26
10-15um,5165,56.98,34.88,277713,286
15-20um,2158,23.81,36.24,116032,297
20-25um,305,3.36,10.88,16399,89
25-30um,74,0.82,4.99,3979,41
30-35um,32,0.35,3.73,1721,31
35-40um,15,0.17,2.67,807,22
40-45um,12,0.13,2.96,645,24
45-50um,1,0.01,0.31,54,2.57
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,701,7.73,2.09,37692,17
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

